08/01/2023,LA,1,,I,SFD,SC,6.76
08/01/2023,LA,2,,I,SFD,SC,6.76
08/01/2023,LA,1,,I,SFD,SE,19.33
08/01/2023,LA,2,,I,SFD,SE,19.33
08/01/2023,LA,1,,I,SFD,SW,19.33
08/01/2023,LA,2,,I,SFD,SW,19.33
08/01/2023,LA,1,,I,SPH,NC,17.28
08/01/2023,LA,2,,I,SPH,NC,17.28
08/01/2023,LA,1,,I,SPH,NE,13.05
08/01/2023,LA,2,,I,SPH,NE,13.05
08/01/2023,LA,1,,I,SPH,NW,7.97
08/01/2023,LA,2,,I,SPH,NW,7.97
08/01/2023,LA,1,,I,SPH,SC,6.83
08/01/2023,LA,2,,I,SPH,SC,6.83
08/01/2023,LA,1,,I,SPH,SE,21.36
08/01/2023,LA,2,,I,SPH,SE,21.36
08/01/2023,LA,1,,I,SPH,SW,21.36
08/01/2023,LA,2,,I,SPH,SW,21.36
08/01/2023,LO,,,C,SDT,ACR,11.72
08/01/2023,LO,,,C,SPH,ACR,7.33
08/01/2023,LO,1,,I,SDT,NC,16.78
08/01/2023,LO,2,,I,SDT,NC,16.78
08/01/2023,LO,1,,I,SDT,NE,14.26
08/01/2023,LO,2,,I,SDT,NE,14.26
08/01/2023,LO,1,,I,SDT,NW,18.27
08/01/2023,LO,2,,I,SDT,NW,18.27
08/01/2023,LO,1,,I,SDT,SC,7.78
08/01/2023,LO,2,,I,SDT,SC,7.78
08/01/2023,LO,1,,I,SDT,SE,21.32
08/01/2023,LO,2,,I,SDT,SE,21.32
08/01/2023,LO,1,,I,SDT,SW,23.5
08/01/2023,LO,2,,I,SDT,SW,23.5
08/01/2023,LO,1,,I,SFD,NC,13.9
08/01/2023,LO,2,,I,SFD,NC,13.9
08/01/2023,LO,1,,I,SFD,NE,11.81
08/01/2023,LO,2,,I,SFD,NE,11.81
08/01/2023,LO,1,,I,SFD,NW,15.13
08/01/2023,LO,2,,I,SFD,NW,15.13
08/01/2023,LO,1,,I,SFD,SC,6.44
08/01/2023,LO,2,,I,SFD,SC,6.44
08/01/2023,LO,1,,I,SFD,SE,17.66
08/01/2023,LO,2,,I,SFD,SE,17.66
08/01/2023,LO,1,,I,SFD,SW,19.46
08/01/2023,LO,2,,I,SFD,SW,19.46
08/01/2023,LO,1,,I,SPH,NC,15.05
08/01/2023,LO,2,,I,SPH,NC,15.05
